pair_id,trajectory_state_index,stage,counterexample,view_label,clean_distance_to_other_views,perturbed_distance_to_other_views,matched_clean_perturbed_action_response,clean_visible_object_pixels,perturbed_visible_object_pixels,visible_object_pixel_gain,rgb_mean_absolute_change_fraction,rgb_pixel_fraction_change_over_10
0,8,far_approach,True,nominal,0.13912953436374664,0.11116798222064972,0.082565606,769,792,23,0.003990681966145834,0.01605224609375
0,8,far_approach,True,yaw_m030,0.12555654346942902,0.11633498966693878,0.1362947,746,727,-19,0.0040981517118566175,0.01556396484375
0,8,far_approach,True,yaw_m015,0.1643887758255005,0.12141008675098419,0.15342836,733,723,-10,0.003931382123161764,0.0150604248046875
0,8,far_approach,True,yaw_p015,0.10493025928735733,0.07903096079826355,0.08954502,717,735,18,0.003864004097732843,0.015167236328125
0,8,far_approach,True,yaw_p030,0.09743787348270416,0.07918236404657364,0.10461895,719,736,17,0.003771852979473039,0.014923095703125
1,9,far_approach,True,nominal,0.12620048224925995,0.11130718886852264,0.1130528,769,792,23,0.003990681966145834,0.01605224609375
1,9,far_approach,True,yaw_m030,0.12424787133932114,0.11750411987304688,0.1461172,746,727,-19,0.0040981517118566175,0.01556396484375
1,9,far_approach,True,yaw_m015,0.19175639748573303,0.15482154488563538,0.17301622,733,723,-10,0.003931382123161764,0.0150604248046875
1,9,far_approach,True,yaw_p015,0.11368326842784882,0.08666914701461792,0.09656793,717,735,18,0.003864004097732843,0.015167236328125
1,9,far_approach,True,yaw_p030,0.09890983998775482,0.08274172991514206,0.11505141,718,735,17,0.003771852979473039,0.014923095703125
2,10,far_approach,True,nominal,0.1259235292673111,0.10937321186065674,0.1627018,769,792,23,0.003990681966145834,0.01605224609375
2,10,far_approach,True,yaw_m030,0.14504830539226532,0.13375143706798553,0.18805908,748,729,-19,0.0040981517118566175,0.01556396484375
2,10,far_approach,True,yaw_m015,0.19924132525920868,0.17512066662311554,0.19571611,733,723,-10,0.003931382123161764,0.0150604248046875
2,10,far_approach,True,yaw_p015,0.13543672859668732,0.09918206185102463,0.13031395,717,735,18,0.003864004097732843,0.015167236328125
2,10,far_approach,True,yaw_p030,0.10656795650720596,0.09000227600336075,0.15067515,718,735,17,0.003771852979473039,0.014923095703125
3,12,far_approach,False,nominal,0.1211896687746048,0.12552177906036377,0.24810839,769,792,23,0.003990681966145834,0.01605224609375
3,12,far_approach,False,yaw_m030,0.1489759385585785,0.16569958627223969,0.231595,746,727,-19,0.0040981517118566175,0.01556396484375
3,12,far_approach,False,yaw_m015,0.17980670928955078,0.2041323184967041,0.22116956,734,724,-10,0.003931382123161764,0.0150604248046875
3,12,far_approach,False,yaw_p015,0.16726715862751007,0.14099055528640747,0.20406501,717,735,18,0.003864004097732843,0.015167236328125
3,12,far_approach,False,yaw_p030,0.11452382802963257,0.11509831994771957,0.24178538,718,735,17,0.003771852979473039,0.014923095703125
4,13,far_approach,False,nominal,0.12465071678161621,0.13571786880493164,0.23895791,769,792,23,0.003990681966145834,0.01605224609375
4,13,far_approach,False,yaw_m030,0.15357168018817902,0.18072228133678436,0.21794903,746,727,-19,0.0040981517118566175,0.01556396484375
4,13,far_approach,False,yaw_m015,0.15334869921207428,0.19665980339050293,0.19979629,733,723,-10,0.003931382123161764,0.0150604248046875
4,13,far_approach,False,yaw_p015,0.1713353842496872,0.16949079930782318,0.22631451,717,735,18,0.003864004097732843,0.015167236328125
4,13,far_approach,False,yaw_p030,0.11472692340612411,0.13090021908283234,0.25424418,718,735,17,0.003771852979473039,0.014923095703125
5,14,far_approach,False,nominal,0.13211695849895477,0.13520124554634094,0.25486466,769,792,23,0.003990681966145834,0.01605224609375
5,14,far_approach,False,yaw_m030,0.16599363088607788,0.187127947807312,0.22240254,746,727,-19,0.0040981517118566175,0.01556396484375
5,14,far_approach,False,yaw_m015,0.1366768181324005,0.1754913032054901,0.20891288,733,723,-10,0.003931382123161764,0.0150604248046875
5,14,far_approach,False,yaw_p015,0.16383221745491028,0.17026440799236298,0.2538051,717,735,18,0.003864004097732843,0.015167236328125
5,14,far_approach,False,yaw_p030,0.11527979373931885,0.13024815917015076,0.26597437,718,735,17,0.003771852979473039,0.014923095703125
6,16,far_approach,False,nominal,0.19272498786449432,0.17074035108089447,0.27195197,769,792,23,0.003990681966145834,0.01605224609375
6,16,far_approach,False,yaw_m030,0.19582025706768036,0.19948793947696686,0.22897573,746,727,-19,0.0040981517118566175,0.01556396484375
6,16,far_approach,False,yaw_m015,0.16740868985652924,0.18130066990852356,0.21020322,734,724,-10,0.003931382123161764,0.0150604248046875
6,16,far_approach,False,yaw_p015,0.16853198409080505,0.1789391040802002,0.26423898,717,735,18,0.003864004097732843,0.015167236328125
6,16,far_approach,False,yaw_p030,0.13699303567409515,0.13908657431602478,0.24154487,718,735,17,0.003771852979473039,0.014923095703125
7,17,far_approach,True,nominal,0.2307262420654297,0.18236280977725983,0.2927508,769,792,23,0.003990681966145834,0.01605224609375
7,17,far_approach,True,yaw_m030,0.18455807864665985,0.1876952350139618,0.23895177,746,727,-19,0.0040981517118566175,0.01556396484375
7,17,far_approach,True,yaw_m015,0.14340350031852722,0.13627655804157257,0.22592035,734,724,-10,0.003931382123161764,0.0150604248046875
7,17,far_approach,True,yaw_p015,0.1906401664018631,0.18994906544685364,0.25994462,717,735,18,0.003864004097732843,0.015167236328125
7,17,far_approach,True,yaw_p030,0.14184162020683289,0.13147135078907013,0.23142822,718,735,17,0.003771852979473039,0.014923095703125
8,18,far_approach,True,nominal,0.23127469420433044,0.1762448102235794,0.2853643,769,792,23,0.003990681966145834,0.01605224609375
8,18,far_approach,True,yaw_m030,0.16591428220272064,0.16995279490947723,0.2181268,746,727,-19,0.0040981517118566175,0.01556396484375
8,18,far_approach,True,yaw_m015,0.13445182144641876,0.12363117933273315,0.2033836,734,724,-10,0.003931382123161764,0.0150604248046875
8,18,far_approach,True,yaw_p015,0.17664220929145813,0.18115773797035217,0.2496837,717,735,18,0.003864004097732843,0.015167236328125
8,18,far_approach,True,yaw_p030,0.134370818734169,0.12747791409492493,0.2299445,718,735,17,0.003771852979473039,0.014923095703125
9,20,far_approach,True,nominal,0.2363135814666748,0.1884419471025467,0.2909491,769,792,23,0.003990681966145834,0.01605224609375
9,20,far_approach,True,yaw_m030,0.19019266963005066,0.15590441226959229,0.28161785,746,727,-19,0.0040981517118566175,0.01556396484375
9,20,far_approach,True,yaw_m015,0.16435673832893372,0.13136155903339386,0.23367098,733,723,-10,0.003931382123161764,0.0150604248046875
9,20,far_approach,True,yaw_p015,0.2173995077610016,0.1961677074432373,0.24320368,717,735,18,0.003864004097732843,0.015167236328125
9,20,far_approach,True,yaw_p030,0.17703542113304138,0.14238116145133972,0.22476363,718,735,17,0.003771852979473039,0.014923095703125
10,21,far_approach,True,nominal,0.20394179224967957,0.18828615546226501,0.28039724,769,792,23,0.003990681966145834,0.01605224609375
10,21,far_approach,True,yaw_m030,0.18085677921772003,0.15859098732471466,0.30092466,746,727,-19,0.0040981517118566175,0.01556396484375
10,21,far_approach,True,yaw_m015,0.15772302448749542,0.13342806696891785,0.2745434,733,723,-10,0.003931382123161764,0.0150604248046875
10,21,far_approach,True,yaw_p015,0.20629417896270752,0.19964538514614105,0.2697574,717,735,18,0.003864004097732843,0.015167236328125
10,21,far_approach,True,yaw_p030,0.1845938265323639,0.14827588200569153,0.2221741,718,735,17,0.003771852979473039,0.014923095703125
11,22,far_approach,False,nominal,0.1858363151550293,0.22244477272033691,0.2322528,770,793,23,0.003990681966145834,0.01605224609375
11,22,far_approach,False,yaw_m030,0.184006005525589,0.17638137936592102,0.2944535,746,727,-19,0.0040981517118566175,0.01556396484375
11,22,far_approach,False,yaw_m015,0.15206407010555267,0.15554076433181763,0.2509313,733,723,-10,0.003931382123161764,0.0150604248046875
11,22,far_approach,False,yaw_p015,0.17994043231010437,0.21695120632648468,0.31088,717,735,18,0.003864004097732843,0.015167236328125
11,22,far_approach,False,yaw_p030,0.18976113200187683,0.18401506543159485,0.24724019,718,735,17,0.003771852979473039,0.014923095703125
12,23,far_approach,False,nominal,0.157718688249588,0.19902175664901733,0.21311052,771,794,23,0.003990681966145834,0.01605224609375
12,23,far_approach,False,yaw_m030,0.17198467254638672,0.1622009426355362,0.29280588,717,727,10,0.0040981517118566175,0.01556396484375
12,23,far_approach,False,yaw_m015,0.1339067667722702,0.14029088616371155,0.23737137,733,723,-10,0.003931382123161764,0.0150604248046875
12,23,far_approach,False,yaw_p015,0.1694045066833496,0.20079448819160461,0.30786476,717,735,18,0.003864004097732843,0.015167236328125
12,23,far_approach,False,yaw_p030,0.19320788979530334,0.18181931972503662,0.239615,718,735,17,0.003771852979473039,0.014923095703125
13,25,far_approach,True,nominal,0.15011051297187805,0.14701204001903534,0.19346692,770,793,23,0.003990681966145834,0.01605224609375
13,25,far_approach,True,yaw_m030,0.13838712871074677,0.1084522008895874,0.23990074,675,727,52,0.0040981517118566175,0.01556396484375
13,25,far_approach,True,yaw_m015,0.12279684841632843,0.10486172139644623,0.22977057,733,723,-10,0.003931382123161764,0.0150604248046875
13,25,far_approach,True,yaw_p015,0.1406337320804596,0.11811928451061249,0.21147855,717,735,18,0.003864004097732843,0.015167236328125
13,25,far_approach,True,yaw_p030,0.22006578743457794,0.18404662609100342,0.19061252,718,735,17,0.003771852979473039,0.014923095703125
14,26,far_approach,True,nominal,0.15983501076698303,0.15030130743980408,0.17050862,770,793,23,0.003990681966145834,0.01605224609375
14,26,far_approach,True,yaw_m030,0.1553400605916977,0.10462097078561783,0.24377477,662,725,63,0.0040981517118566175,0.01556396484375
14,26,far_approach,True,yaw_m015,0.1369863599538803,0.10599273443222046,0.22720501,732,723,-9,0.003931382123161764,0.0150604248046875
14,26,far_approach,True,yaw_p015,0.15397360920906067,0.11265376955270767,0.19205233,718,736,18,0.003864004097732843,0.015167236328125
14,26,far_approach,True,yaw_p030,0.23078957200050354,0.16913363337516785,0.15582374,718,735,17,0.003771852979473039,0.014923095703125
15,27,far_approach,True,nominal,0.17245180904865265,0.1474297046661377,0.16755708,769,792,23,0.003990681966145834,0.01605224609375
15,27,far_approach,True,yaw_m030,0.17954707145690918,0.12415870279073715,0.2244238,653,718,65,0.0040981517118566175,0.01556396484375
15,27,far_approach,True,yaw_m015,0.1531122773885727,0.11693252623081207,0.20651105,726,723,-3,0.003931382123161764,0.0150604248046875
15,27,far_approach,True,yaw_p015,0.16869036853313446,0.12265670299530029,0.16524357,717,735,18,0.003864004097732843,0.015167236328125
15,27,far_approach,True,yaw_p030,0.23724284768104553,0.1945524662733078,0.16673324,718,735,17,0.003771852979473039,0.014923095703125
16,29,far_approach,True,nominal,0.18745818734169006,0.17424893379211426,0.1626818,763,792,29,0.003964412913602941,0.0159454345703125
16,29,far_approach,True,yaw_m030,0.19294250011444092,0.14118692278862,0.23599765,598,705,107,0.0039399390127144605,0.014739990234375
16,29,far_approach,True,yaw_m015,0.16847331821918488,0.1279369443655014,0.22743757,682,723,41,0.003887341069240196,0.0147247314453125
16,29,far_approach,True,yaw_p015,0.19007191061973572,0.13523471355438232,0.1485117,717,735,18,0.003864004097732843,0.015167236328125
16,29,far_approach,True,yaw_p030,0.2502097189426422,0.1822466105222702,0.15548992,718,735,17,0.003771852979473039,0.014923095703125
17,30,far_approach,True,nominal,0.17513315379619598,0.19188275933265686,0.14739399,751,792,41,0.003931860830269608,0.0157470703125
17,30,far_approach,True,yaw_m030,0.18710428476333618,0.17305727303028107,0.17493567,536,689,153,0.003751687442555147,0.0139312744140625
17,30,far_approach,True,yaw_m015,0.16743676364421844,0.14840106666088104,0.21076731,656,723,67,0.003844317267922794,0.0145263671875
17,30,far_approach,True,yaw_p015,0.19316448271274567,0.15130025148391724,0.13779104,717,735,18,0.0038634655522365195,0.0151519775390625
17,30,far_approach,True,yaw_p030,0.21998266875743866,0.17936554551124573,0.1415029,718,735,17,0.003771852979473039,0.014923095703125
18,31,far_approach,True,nominal,0.33997201919555664,0.17609290778636932,0.32244986,737,792,55,0.0039028392118566177,0.01556396484375
18,31,far_approach,True,yaw_m030,0.2303658425807953,0.16755275428295135,0.17721498,507,686,179,0.0035773782169117646,0.0133514404296875
18,31,far_approach,True,yaw_m015,0.21127824485301971,0.13916067779064178,0.20049068,630,723,93,0.003798241708792892,0.0143890380859375
18,31,far_approach,True,yaw_p015,0.23348236083984375,0.14624348282814026,0.123446465,706,735,29,0.0038431205001531864,0.0150299072265625
18,31,far_approach,True,yaw_p030,0.2329520434141159,0.1722746193408966,0.15517929,718,735,17,0.003771852979473039,0.014923095703125
19,32,far_approach,True,nominal,0.5147956609725952,0.1571614295244217,0.51421887,727,792,65,0.003871663411458333,0.015380859375
19,32,far_approach,True,yaw_m030,0.2634890377521515,0.1586492657661438,0.16017345,495,690,195,0.003444477156096814,0.0128631591796875
19,32,far_approach,True,yaw_m015,0.25647902488708496,0.13784876465797424,0.17753185,608,722,114,0.003724042107077206,0.0139923095703125
19,32,far_approach,True,yaw_p015,0.2741672396659851,0.14593297243118286,0.11204654,696,735,39,0.003801712335324755,0.0148773193359375
19,32,far_approach,True,yaw_p030,0.25549399852752686,0.1694541871547699,0.16529901,715,735,20,0.003768741383272059,0.014862060546875
20,34,far_approach,True,nominal,0.4760671555995941,0.5240790843963623,0.3961988,675,787,112,0.003761141907935049,0.0149688720703125
20,34,far_approach,True,yaw_m030,0.3289693593978882,0.24715816974639893,0.5469799,453,675,222,0.003214578067555147,0.0121307373046875
20,34,far_approach,True,yaw_m015,0.3728916347026825,0.2311590611934662,0.35365123,548,710,162,0.0035489549823835786,0.0132293701171875
20,34,far_approach,True,yaw_p015,0.3134145736694336,0.2473689764738083,0.5228576,665,735,70,0.003658937940410539,0.014404296875
20,34,far_approach,True,yaw_p030,0.3909904360771179,0.2549079954624176,0.3301013,674,735,61,0.003654928768382353,0.0142669677734375
21,35,far_approach,True,nominal,0.494459867477417,0.5752820372581482,0.41011867,636,781,145,0.0036889169730392156,0.0144805908203125
21,35,far_approach,True,yaw_m030,0.3295380771160126,0.27703386545181274,0.5859269,429,666,237,0.003134753657322304,0.011749267578125
21,35,far_approach,True,yaw_m015,0.38063985109329224,0.2601102292537689,0.38896015,519,704,185,0.0034414253982843136,0.0127105712890625
21,35,far_approach,True,yaw_p015,0.31437650322914124,0.27605554461479187,0.5731981,636,728,92,0.003593235389859069,0.0140228271484375
21,35,far_approach,True,yaw_p030,0.4162532389163971,0.2701612114906311,0.37033206,642,730,88,0.0035300460516237745,0.01385498046875
22,36,close_approach,False,nominal,0.44890254735946655,0.5444954633712769,0.40612444,586,774,188,0.003612204159007353,0.014068603515625
22,36,close_approach,False,yaw_m030,0.256002277135849,0.39185258746147156,0.34912616,418,659,241,0.0030788646024816177,0.0114288330078125
22,36,close_approach,False,yaw_m015,0.4308028221130371,0.3295069634914398,0.36588323,493,695,202,0.003311635933670343,0.0121917724609375
22,36,close_approach,False,yaw_p015,0.247752383351326,0.33568939566612244,0.6131845,592,720,128,0.003499588311887255,0.013519287109375
22,36,close_approach,False,yaw_p030,0.284770667552948,0.35382264852523804,0.6276367,605,718,113,0.0034371768727022058,0.013427734375
23,38,close_approach,False,nominal,0.519538938999176,0.3403569161891937,0.5803095,505,747,242,0.003351727653952206,0.0128326416015625
23,38,close_approach,False,yaw_m030,0.2591173052787781,0.35498350858688354,0.092189744,399,649,250,0.0030029296875,0.010955810546875
23,38,close_approach,False,yaw_m015,0.27889469265937805,0.4705802798271179,0.54079694,442,670,228,0.0030455346200980392,0.0112152099609375
23,38,close_approach,False,yaw_p015,0.3259400725364685,0.2982218861579895,0.602477,487,699,212,0.0032391716452205882,0.0123291015625
23,38,close_approach,False,yaw_p030,0.2865588665008545,0.30742326378822327,0.38694447,501,701,200,0.0031805898628982842,0.01214599609375
24,39,close_approach,True,nominal,0.37401971220970154,0.2862870693206787,0.55502355,464,731,267,0.0031951305912990197,0.012237548828125
24,39,close_approach,True,yaw_m030,0.18532037734985352,0.14966821670532227,0.5029753,391,646,255,0.0029511096430759804,0.0107421875
24,39,close_approach,True,yaw_m015,0.38841792941093445,0.16177406907081604,0.28514868,417,658,241,0.0029419543696384805,0.01080322265625
24,39,close_approach,True,yaw_p015,0.1865987330675125,0.14558005332946777,0.5312095,450,683,233,0.003070666743259804,0.01165771484375
24,39,close_approach,True,yaw_p030,0.18331500887870789,0.1793060004711151,0.54761946,449,685,236,0.0030166326784620097,0.0115966796875
25,40,close_approach,False,nominal,0.12430296093225479,0.3999882638454437,0.10268507,435,724,289,0.003074795592064951,0.01165771484375
25,40,close_approach,False,yaw_m030,0.11430046707391739,0.26498252153396606,0.2748868,388,648,260,0.0029157451554840687,0.010589599609375
25,40,close_approach,False,yaw_m015,0.2764696478843689,0.33880501985549927,0.30384016,396,652,256,0.002854590322457108,0.010467529296875
25,40,close_approach,False,yaw_p015,0.12619465589523315,0.26426777243614197,0.30433023,414,678,264,0.0029113171147365194,0.0111541748046875
25,40,close_approach,False,yaw_p030,0.11785595118999481,0.3144283890724182,0.5048814,412,677,265,0.0028566248276654413,0.010986328125
26,41,grasp_contact,False,nominal,0.06815050542354584,0.09469550848007202,0.112616315,412,731,319,0.0030309938916973037,0.011474609375
26,41,grasp_contact,False,yaw_m030,0.052209533751010895,0.10339808464050293,0.062178563,384,659,275,0.0029047348920036766,0.01068115234375
26,41,grasp_contact,False,yaw_m015,0.05798199772834778,0.08257804811000824,0.07769361,381,662,281,0.0028301762599571077,0.0104522705078125
26,41,grasp_contact,False,yaw_p015,0.06802698224782944,0.08333121985197067,0.11196868,381,675,294,0.0028315525428921568,0.0108795166015625
26,41,grasp_contact,False,yaw_p030,0.06306742131710052,0.1049308031797409,0.11749349,380,677,297,0.0027657303155637254,0.0107269287109375
27,43,grasp_contact,False,nominal,0.07879164069890976,0.11299026012420654,0.1567269,365,717,352,0.0031242819393382353,0.0112152099609375
27,43,grasp_contact,False,yaw_m030,0.06238221004605293,0.15470977127552032,0.088978946,361,656,295,0.002967625038296569,0.0104522705078125
27,43,grasp_contact,False,yaw_m015,0.06138288974761963,0.11994779109954834,0.123569526,344,657,313,0.002937765682444853,0.010345458984375
27,43,grasp_contact,False,yaw_p015,0.06494230031967163,0.11143424361944199,0.18690963,329,658,329,0.0029250799440870097,0.0103912353515625
27,43,grasp_contact,False,yaw_p030,0.07053892314434052,0.1492084264755249,0.21717978,330,660,330,0.00281521666283701,0.01043701171875
28,44,grasp_contact,False,nominal,0.07387368381023407,0.12720218300819397,0.15153395,368,721,353,0.003156115962009804,0.011322021484375
28,44,grasp_contact,False,yaw_m030,0.06870315968990326,0.17080619931221008,0.08165576,360,661,301,0.003001972273284314,0.0105743408203125
28,44,grasp_contact,False,yaw_m015,0.06678900867700577,0.1376984864473343,0.10460673,354,664,310,0.0029300465303308825,0.01031494140625
28,44,grasp_contact,False,yaw_p015,0.05699150636792183,0.12232820689678192,0.17420435,333,667,334,0.002936688591452206,0.010528564453125
28,44,grasp_contact,False,yaw_p030,0.06924431025981903,0.1648217737674713,0.21466625,328,666,338,0.0028301762599571077,0.010406494140625
29,45,grasp_contact,False,nominal,0.08266238868236542,0.1380440890789032,0.1278722,365,722,357,0.0031694599226409314,0.0115509033203125
29,45,grasp_contact,False,yaw_m030,0.08004972338676453,0.1745351403951645,0.093108445,358,663,305,0.0030598958333333333,0.0106353759765625
29,45,grasp_contact,False,yaw_m015,0.0787496566772461,0.14778359234333038,0.11064573,359,667,308,0.0029852175245098037,0.010498046875
29,45,grasp_contact,False,yaw_p015,0.060852836817502975,0.13317610323429108,0.16649987,341,674,333,0.0029567942899816177,0.010589599609375
29,45,grasp_contact,False,yaw_p030,0.07418005913496017,0.18409626185894012,0.21842282,340,670,330,0.002867994121476716,0.0103912353515625
30,47,grasp_contact,False,nominal,0.10525105148553848,0.1612234115600586,0.1189088,382,735,353,0.003204525218290441,0.0115814208984375
30,47,grasp_contact,False,yaw_m030,0.11024127900600433,0.1725265085697174,0.10782834,373,679,306,0.003093405330882353,0.0107574462890625
30,47,grasp_contact,False,yaw_m015,0.11103744804859161,0.15622012317180634,0.12638684,363,680,317,0.0030574424594056373,0.0108489990234375
30,47,grasp_contact,False,yaw_p015,0.08490726351737976,0.15215060114860535,0.15928954,357,679,322,0.00301358092064951,0.0109405517578125
30,47,grasp_contact,False,yaw_p030,0.09987500309944153,0.21942491829395294,0.23637187,359,683,324,0.002943151137408088,0.010650634765625
31,48,grasp_contact,False,nominal,0.1236756220459938,0.15727300941944122,0.097434744,392,744,352,0.0032491646560968137,0.011688232421875
31,48,grasp_contact,False,yaw_m030,0.12086687982082367,0.1758470982313156,0.09225807,384,683,299,0.0030932258157169118,0.0109100341796875
31,48,grasp_contact,False,yaw_m015,0.12439072132110596,0.15925796329975128,0.107247256,371,684,313,0.0031116560393688727,0.01104736328125
31,48,grasp_contact,False,yaw_p015,0.0993695855140686,0.1509619653224945,0.11964439,365,692,327,0.00303494322533701,0.01092529296875
31,48,grasp_contact,False,yaw_p030,0.11426632106304169,0.2136726826429367,0.17671795,366,689,323,0.002970557119332108,0.0109100341796875
32,49,grasp_contact,False,nominal,0.18919090926647186,0.20238983631134033,0.105376385,398,749,351,0.0033250995710784313,0.011810302734375
32,49,grasp_contact,False,yaw_m030,0.16169409453868866,0.1831771582365036,0.14054415,392,680,288,0.0031396005667892156,0.0110015869140625
32,49,grasp_contact,False,yaw_m015,0.1730497032403946,0.17545999586582184,0.13521597,384,688,304,0.0031346339805453432,0.01104736328125
32,49,grasp_contact,False,yaw_p015,0.14698417484760284,0.1671498566865921,0.08714561,375,701,326,0.0030786850873161763,0.01104736328125
32,49,grasp_contact,False,yaw_p030,0.1624099314212799,0.21718759834766388,0.10754047,373,691,318,0.0029941334443933823,0.010833740234375
33,50,grasp_contact,False,nominal,0.22185540199279785,0.19868238270282745,0.14110675,418,757,339,0.003404684627757353,0.0120391845703125
33,50,grasp_contact,False,yaw_m030,0.18265452980995178,0.18741585314273834,0.24117048,404,684,280,0.003148516486672794,0.010955810546875
33,50,grasp_contact,False,yaw_m015,0.19017982482910156,0.17639346420764923,0.22750525,397,692,295,0.0031629375382965686,0.01116943359375
33,50,grasp_contact,False,yaw_p015,0.16672413051128387,0.16999129951000214,0.11086843,385,692,307,0.0031364889705882354,0.0111846923828125
33,50,grasp_contact,False,yaw_p030,0.1802680790424347,0.2224666327238083,0.10190372,387,707,320,0.003057562136182598,0.011138916015625
34,52,lift_transport,False,nominal,0.2729417681694031,0.2694081962108612,0.16628703,441,762,321,0.003515625,0.01239013671875
34,52,lift_transport,False,yaw_m030,0.20584893226623535,0.2167768031358719,0.19223045,421,693,272,0.0031939338235294117,0.0109710693359375
34,52,lift_transport,False,yaw_m015,0.2098166048526764,0.22154775261878967,0.15559028,414,700,286,0.0032711253446691176,0.01141357421875
34,52,lift_transport,False,yaw_p015,0.19197474420070648,0.21195097267627716,0.1516956,403,712,309,0.0032091926125919117,0.011444091796875
34,52,lift_transport,False,yaw_p030,0.20836690068244934,0.24279646575450897,0.112232186,411,723,312,0.0031772389131433823,0.011383056640625
35,53,lift_transport,False,nominal,0.3151994049549103,0.3095390200614929,0.17146386,443,773,330,0.0035601447610294117,0.0123291015625
35,53,lift_transport,False,yaw_m030,0.2166357785463333,0.22427010536193848,0.15404537,427,699,272,0.003265979243259804,0.0114898681640625
35,53,lift_transport,False,yaw_m015,0.21145617961883545,0.21815285086631775,0.15721753,421,709,288,0.003371953029258578,0.0114288330078125
35,53,lift_transport,False,yaw_p015,0.21183748543262482,0.2350665032863617,0.18231264,415,722,307,0.0032838709214154413,0.011566162109375
35,53,lift_transport,False,yaw_p030,0.2244616448879242,0.25862380862236023,0.120156184,414,729,315,0.0032021915211397057,0.011566162109375
36,54,lift_transport,False,nominal,0.2980007231235504,0.3299481272697449,0.2360378,451,780,329,0.003630933574601716,0.0126953125
36,54,lift_transport,False,yaw_m030,0.2093297690153122,0.23982104659080505,0.20759949,432,713,281,0.0033391615923713236,0.0114288330078125
36,54,lift_transport,False,yaw_m015,0.2032872885465622,0.2626664638519287,0.16126645,425,718,293,0.003414797315410539,0.0115203857421875
36,54,lift_transport,False,yaw_p015,0.20418024063110352,0.2488645315170288,0.24513283,433,734,301,0.0033272537530637256,0.0117645263671875
36,54,lift_transport,False,yaw_p030,0.20467150211334229,0.2541813850402832,0.15494117,423,736,313,0.0032474891812193625,0.01171875
37,56,lift_transport,False,nominal,0.20034603774547577,0.3846912384033203,0.30993333,467,803,336,0.0036621692133884803,0.0127105712890625
